COD_ATIVIDADE;COD_SUB_ATIVIDADE;COD_OBRA;DT_INICIO;DT_PREVISAO;DT_ENTREGA;STATUS_ATIVIDADE;QTD_TOTAL;QTD_PARCIAL;PERCENTUAL_REALIZADO
1;1;1;14/08/2025;17/08/2025;;AGUARDANDO INICIO;1650;10;1%
1;2;1;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1650;600;36%
1;3;1;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1650;25;2%
1;4;1;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1650;7;0%
1;5;1;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1650;23;1%
2;2;1;25/08/2025;12/09/2025;;AGUARDANDO INICIO;71;5;7%
2;11;1;25/08/2025;12/09/2025;;AGUARDANDO INICIO;71;5;7%
2;5;1;25/08/2025;12/09/2025;;AGUARDANDO INICIO;71;9;13%
3;2;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO;28;10;36%
3;6;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO;28;20;71%
3;5;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO;28;5;18%
4;7;1;22/09/2025;26/09/2025;;AGUARDANDO INICIO;1;0;0%
4;8;1;29/09/2025;03/10/2025;;AGUARDANDO INICIO;42;10;24%
4;9;1;06/10/2025;08/10/2025;;AGUARDANDO INICIO;1;0;0%
5;8;1;25/09/2025;12/10/2025;;AGUARDANDO INICIO;42;2;5%
6;10;1;30/09/2025;15/10/2025;;AGUARDANDO INICIO;1;0;0%
1;1;2;14/08/2025;17/08/2025;;AGUARDANDO INICIO;1400;10;1%
1;2;2;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1400;15;1%
1;3;2;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1400;25;2%
1;4;2;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1400;7;1%
1;5;2;18/08/2025;05/09/2025;;AGUARDANDO INICIO;1400;23;2%
2;2;2;25/08/2025;12/09/2025;;AGUARDANDO INICIO;60;5;8%
2;11;2;25/08/2025;12/09/2025;;AGUARDANDO INICIO;60;5;8%
2;5;2;25/08/2025;12/09/2025;;AGUARDANDO INICIO;60;9;15%
3;2;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO;18;10;56%
3;6;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO;18;5;28%
3;5;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO;18;5;28%
4;7;2;22/09/2025;26/09/2025;;AGUARDANDO INICIO;1;0;0%
4;8;2;29/09/2025;03/10/2025;;AGUARDANDO INICIO;36;10;28%
4;9;2;06/10/2025;08/10/2025;;AGUARDANDO INICIO;1;0;0%
5;8;2;25/09/2025;12/10/2025;;AGUARDANDO INICIO;36;2;6%
6;10;2;30/09/2025;15/10/2025;;AGUARDANDO INICIO;1;0;0%
7;8;1;26/09/2025;10/10/2025;;AGUARDANDO INICIO;1;0;0%
7;9;1;28/09/2025;16/10/2025;;AGUARDANDO INICIO;1;0;0%
7;8;2;26/09/2025;10/10/2025;;AGUARDANDO INICIO;1;0;0%
7;9;2;28/09/2025;16/10/2025;;AGUARDANDO INICIO;1;0;0%
8;2;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO;38;2;5%
8;6;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO;38;2;5%
8;2;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO;38;2;5%
8;6;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO;38;2;5%
9;8;1;25/09/2025;12/10/2025;;AGUARDANDO INICIO;65;2;3%
9;9;1;25/09/2025;12/10/2025;;AGUARDANDO INICIO;1;0;0%
9;8;2;25/09/2025;12/10/2025;;AGUARDANDO INICIO;56;2;4%
9;9;2;25/09/2025;12/10/2025;;AGUARDANDO INICIO;1;0;0%
